claim_id,instance_id,shots,sim_seed,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L2-C3,er_n8_p0.2_seed1,128,7,0.05,2.140625,2.734375,0.59375,1
L2-C1,er_n8_p0.2_seed1,128,8,0.0,2.1875,2.7421875,0.5546875,1
L2-C2,er_n8_p0.2_seed1,128,8,0.01,2.1875,2.7421875,0.5546875,1
L2-C3,er_n8_p0.2_seed1,128,8,0.05,2.1875,2.7421875,0.5546875,1
L2-C1,er_n8_p0.2_seed1,128,9,0.0,2.3828125,2.5078125,0.125,1
L2-C2,er_n8_p0.2_seed1,128,9,0.01,2.3828125,2.5078125,0.125,1
L2-C3,er_n8_p0.2_seed1,128,9,0.05,2.3828125,2.5078125,0.125,1
L2-C1,er_n8_p0.2_seed1,512,0,0.0,2.220703125,2.755859375,0.53515625,1
L2-C2,er_n8_p0.2_seed1,512,0,0.01,2.220703125,2.755859375,0.53515625,1
L2-C3,er_n8_p0.2_seed1,512,0,0.05,2.220703125,2.755859375,0.53515625,1
L2-C1,er_n8_p0.2_seed1,512,1,0.0,2.291015625,2.802734375,0.51171875,1
L2-C2,er_n8_p0.2_seed1,512,1,0.01,2.291015625,2.802734375,0.51171875,1
L2-C3,er_n8_p0.2_seed1,512,1,0.05,2.291015625,2.802734375,0.51171875,1
L2-C1,er_n8_p0.2_seed1,512,2,0.0,2.19140625,2.677734375,0.486328125,1
L2-C2,er_n8_p0.2_seed1,512,2,0.01,2.19140625,2.677734375,0.486328125,1
L2-C3,er_n8_p0.2_seed1,512,2,0.05,2.19140625,2.677734375,0.486328125,1
L2-C1,er_n8_p0.2_seed1,512,3,0.0,2.12890625,2.7109375,0.58203125,1
L2-C2,er_n8_p0.2_seed1,512,3,0.01,2.12890625,2.7109375,0.58203125,1
L2-C3,er_n8_p0.2_seed1,512,3,0.05,2.12890625,2.7109375,0.58203125,1
L2-C1,er_n8_p0.2_seed1,512,4,0.0,2.255859375,2.69140625,0.435546875,1
L2-C2,er_n8_p0.2_seed1,512,4,0.01,2.255859375,2.69140625,0.435546875,1
L2-C3,er_n8_p0.2_seed1,512,4,0.05,2.255859375,2.69140625,0.435546875,1
L2-C1,er_n8_p0.2_seed1,512,5,0.0,2.345703125,2.76953125,0.423828125,1
L2-C2,er_n8_p0.2_seed1,512,5,0.01,2.345703125,2.76953125,0.423828125,1
L2-C3,er_n8_p0.2_seed1,512,5,0.05,2.345703125,2.76953125,0.423828125,1
L2-C1,er_n8_p0.2_seed1,512,6,0.0,2.265625,2.728515625,0.462890625,1
L2-C2,er_n8_p0.2_seed1,512,6,0.01,2.265625,2.728515625,0.462890625,1
L2-C3,er_n8_p0.2_seed1,512,6,0.05,2.265625,2.728515625,0.462890625,1
L2-C1,er_n8_p0.2_seed1,512,7,0.0,2.349609375,2.66015625,0.310546875,1
L2-C2,er_n8_p0.2_seed1,512,7,0.01,2.349609375,2.66015625,0.310546875,1
L2-C3,er_n8_p0.2_seed1,512,7,0.05,2.349609375,2.66015625,0.310546875,1
L2-C1,er_n8_p0.2_seed1,512,8,0.0,2.236328125,2.7578125,0.521484375,1
L2-C2,er_n8_p0.2_seed1,512,8,0.01,2.236328125,2.7578125,0.521484375,1
L2-C3,er_n8_p0.2_seed1,512,8,0.05,2.236328125,2.7578125,0.521484375,1
L2-C1,er_n8_p0.2_seed1,512,9,0.0,2.228515625,2.6875,0.458984375,1
L2-C2,er_n8_p0.2_seed1,512,9,0.01,2.228515625,2.6875,0.458984375,1
L2-C3,er_n8_p0.2_seed1,512,9,0.05,2.228515625,2.6875,0.458984375,1
L2-C1,er_n8_p0.2_seed1,1024,0,0.0,2.240234375,2.7734375,0.533203125,1
L2-C2,er_n8_p0.2_seed1,1024,0,0.01,2.240234375,2.7734375,0.533203125,1
L2-C3,er_n8_p0.2_seed1,1024,0,0.05,2.240234375,2.7734375,0.533203125,1
L2-C1,er_n8_p0.2_seed1,1024,1,0.0,2.2705078125,2.8154296875,0.544921875,1
L2-C2,er_n8_p0.2_seed1,1024,1,0.01,2.2705078125,2.8154296875,0.544921875,1
L2-C3,er_n8_p0.2_seed1,1024,1,0.05,2.2705078125,2.8154296875,0.544921875,1
L2-C1,er_n8_p0.2_seed1,1024,2,0.0,2.13671875,2.7275390625,0.5908203125,1
L2-C2,er_n8_p0.2_seed1,1024,2,0.01,2.13671875,2.7275390625,0.5908203125,1
L2-C3,er_n8_p0.2_seed1,1024,2,0.05,2.13671875,2.7275390625,0.5908203125,1
L2-C1,er_n8_p0.2_seed1,1024,3,0.0,2.2060546875,2.712890625,0.5068359375,1
L2-C2,er_n8_p0.2_seed1,1024,3,0.01,2.2060546875,2.712890625,0.5068359375,1
L2-C3,er_n8_p0.2_seed1,1024,3,0.05,2.2060546875,2.712890625,0.5068359375,1
L2-C1,er_n8_p0.2_seed1,1024,4,0.0,2.2783203125,2.75,0.4716796875,1
L2-C2,er_n8_p0.2_seed1,1024,4,0.01,2.2783203125,2.75,0.4716796875,1
L2-C3,er_n8_p0.2_seed1,1024,4,0.05,2.2783203125,2.75,0.4716796875,1
L2-C1,er_n8_p0.2_seed1,1024,5,0.0,2.2900390625,2.7001953125,0.41015625,1
L2-C2,er_n8_p0.2_seed1,1024,5,0.01,2.2900390625,2.7001953125,0.41015625,1
L2-C3,er_n8_p0.2_seed1,1024,5,0.05,2.2900390625,2.7001953125,0.41015625,1
L2-C1,er_n8_p0.2_seed1,1024,6,0.0,2.20703125,2.7626953125,0.5556640625,1
L2-C2,er_n8_p0.2_seed1,1024,6,0.01,2.20703125,2.7626953125,0.5556640625,1
L2-C3,er_n8_p0.2_seed1,1024,6,0.05,2.20703125,2.7626953125,0.5556640625,1
