claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C2,er_n10_p0.2_seed3,dense-high,1024,1,depol-medium,0.01,2.44140625,2.462890625,0.021484375,1
COMB-C3,er_n10_p0.2_seed3,dense-high,1024,1,depol-medium,0.05,2.44140625,2.462890625,0.021484375,0
COMB-C1,er_n10_p0.2_seed3,dense-high,1024,1,depol-high,0.0,2.595703125,2.6337890625,0.0380859375,1
COMB-C2,er_n10_p0.2_seed3,dense-high,1024,1,depol-high,0.01,2.595703125,2.6337890625,0.0380859375,1
COMB-C3,er_n10_p0.2_seed3,dense-high,1024,1,depol-high,0.05,2.595703125,2.6337890625,0.0380859375,0
COMB-C1,er_n10_p0.2_seed3,dense-high,1024,2,ideal,0.0,2.263671875,2.375,0.111328125,1
COMB-C2,er_n10_p0.2_seed3,dense-high,1024,2,ideal,0.01,2.263671875,2.375,0.111328125,1
COMB-C3,er_n10_p0.2_seed3,dense-high,1024,2,ideal,0.05,2.263671875,2.375,0.111328125,1
COMB-C1,er_n10_p0.2_seed3,dense-high,1024,2,depol-medium,0.0,2.44140625,2.4609375,0.01953125,1
COMB-C2,er_n10_p0.2_seed3,dense-high,1024,2,depol-medium,0.01,2.44140625,2.4609375,0.01953125,1
COMB-C3,er_n10_p0.2_seed3,dense-high,1024,2,depol-medium,0.05,2.44140625,2.4609375,0.01953125,0
COMB-C1,er_n10_p0.2_seed3,dense-high,1024,2,depol-high,0.0,2.595703125,2.6318359375,0.0361328125,1
COMB-C2,er_n10_p0.2_seed3,dense-high,1024,2,depol-high,0.01,2.595703125,2.6318359375,0.0361328125,1
COMB-C3,er_n10_p0.2_seed3,dense-high,1024,2,depol-high,0.05,2.595703125,2.6318359375,0.0361328125,0
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,0,ideal,0.0,2.26171875,2.3671875,0.10546875,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,0,ideal,0.01,2.26171875,2.3671875,0.10546875,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,0,ideal,0.05,2.26171875,2.3671875,0.10546875,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,0,depol-medium,0.0,2.408203125,2.6015625,0.193359375,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,0,depol-medium,0.01,2.408203125,2.6015625,0.193359375,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,0,depol-medium,0.05,2.408203125,2.6015625,0.193359375,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,0,depol-high,0.0,2.58203125,2.806640625,0.224609375,1
COMB-C2,er_n10_p0.2_seed3,constrained-basis,512,0,depol-high,0.01,2.58203125,2.806640625,0.224609375,1
COMB-C3,er_n10_p0.2_seed3,constrained-basis,512,0,depol-high,0.05,2.58203125,2.806640625,0.224609375,1
COMB-C1,er_n10_p0.2_seed3,constrained-basis,512,1,ideal,0.0,2.25390625,2.380859375,0.126953125,1
