claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,6,0.05,0.999999871795068,0.9987928658719029,58,51,-0.0012070059231651387,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,7,0.0,0.9999972005185753,0.9997856409601099,53,53,-0.00021155955846541286,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,7,0.01,0.9999972005185753,0.9997856409601099,53,53,-0.00021155955846541286,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,7,0.05,0.9999972005185753,0.9997856409601099,53,53,-0.00021155955846541286,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,8,0.0,0.999998843250921,0.9999768174881716,57,57,-2.202576274945578e-05,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,8,0.01,0.999998843250921,0.9999768174881716,57,57,-2.202576274945578e-05,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,8,0.05,0.999998843250921,0.9999768174881716,57,57,-2.202576274945578e-05,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,9,0.0,0.999999101532069,0.9999873907429697,60,56,-1.1710789099228514e-05,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,9,0.01,0.999999101532069,0.9999873907429697,60,56,-1.1710789099228514e-05,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,9,0.05,0.999999101532069,0.9999873907429697,60,56,-1.1710789099228514e-05,0
ALGO-C1,er_n8_p0.2_seed0,Powell,0,0.0,0.9999999928805321,0.9999983464810895,56,148,-1.646399442556401e-06,0
ALGO-C2,er_n8_p0.2_seed0,Powell,0,0.01,0.9999999928805321,0.9999983464810895,56,148,-1.646399442556401e-06,0
ALGO-C3,er_n8_p0.2_seed0,Powell,0,0.05,0.9999999928805321,0.9999983464810895,56,148,-1.646399442556401e-06,0
ALGO-C1,er_n8_p0.2_seed0,Powell,1,0.0,0.9999999999999999,0.9999990228441823,59,150,-9.771558175941664e-07,0
ALGO-C2,er_n8_p0.2_seed0,Powell,1,0.01,0.9999999999999999,0.9999990228441823,59,150,-9.771558175941664e-07,0
ALGO-C3,er_n8_p0.2_seed0,Powell,1,0.05,0.9999999999999999,0.9999990228441823,59,150,-9.771558175941664e-07,0
ALGO-C1,er_n8_p0.2_seed0,Powell,2,0.0,0.9999999999695426,0.9999999999999999,47,149,3.045730334605423e-11,1
ALGO-C2,er_n8_p0.2_seed0,Powell,2,0.01,0.9999999999695426,0.9999999999999999,47,149,3.045730334605423e-11,0
ALGO-C3,er_n8_p0.2_seed0,Powell,2,0.05,0.9999999999695426,0.9999999999999999,47,149,3.045730334605423e-11,0
ALGO-C1,er_n8_p0.2_seed0,Powell,3,0.0,0.9999999999834045,1.0000000000000002,57,135,1.6595724794399302e-11,1
ALGO-C2,er_n8_p0.2_seed0,Powell,3,0.01,0.9999999999834045,1.0000000000000002,57,135,1.6595724794399302e-11,0
ALGO-C3,er_n8_p0.2_seed0,Powell,3,0.05,0.9999999999834045,1.0000000000000002,57,135,1.6595724794399302e-11,0
ALGO-C1,er_n8_p0.2_seed0,Powell,4,0.0,0.9999999999999999,0.9999999988847035,58,78,-1.1152964107807861e-09,0
ALGO-C2,er_n8_p0.2_seed0,Powell,4,0.01,0.9999999999999999,0.9999999988847035,58,78,-1.1152964107807861e-09,0
ALGO-C3,er_n8_p0.2_seed0,Powell,4,0.05,0.9999999999999999,0.9999999988847035,58,78,-1.1152964107807861e-09,0
ALGO-C1,er_n8_p0.2_seed0,Powell,5,0.0,0.999999989750588,0.9999999208886969,36,108,-6.886189107824237e-08,0
ALGO-C2,er_n8_p0.2_seed0,Powell,5,0.01,0.999999989750588,0.9999999208886969,36,108,-6.886189107824237e-08,0
ALGO-C3,er_n8_p0.2_seed0,Powell,5,0.05,0.999999989750588,0.9999999208886969,36,108,-6.886189107824237e-08,0
ALGO-C1,er_n8_p0.2_seed0,Powell,6,0.0,0.9999999999999999,0.9999999070206658,60,74,-9.297933412089066e-08,0
ALGO-C2,er_n8_p0.2_seed0,Powell,6,0.01,0.9999999999999999,0.9999999070206658,60,74,-9.297933412089066e-08,0
ALGO-C3,er_n8_p0.2_seed0,Powell,6,0.05,0.9999999999999999,0.9999999070206658,60,74,-9.297933412089066e-08,0
ALGO-C1,er_n8_p0.2_seed0,Powell,7,0.0,0.9999999999429994,0.9999999998280318,71,112,-1.1496759100282361e-10,0
ALGO-C2,er_n8_p0.2_seed0,Powell,7,0.01,0.9999999999429994,0.9999999998280318,71,112,-1.1496759100282361e-10,0
ALGO-C3,er_n8_p0.2_seed0,Powell,7,0.05,0.9999999999429994,0.9999999998280318,71,112,-1.1496759100282361e-10,0
ALGO-C1,er_n8_p0.2_seed0,Powell,8,0.0,0.9999999999939779,0.9999999997968728,64,81,-1.971051100113641e-10,0
ALGO-C2,er_n8_p0.2_seed0,Powell,8,0.01,0.9999999999939779,0.9999999997968728,64,81,-1.971051100113641e-10,0
ALGO-C3,er_n8_p0.2_seed0,Powell,8,0.05,0.9999999999939779,0.9999999997968728,64,81,-1.971051100113641e-10,0
ALGO-C1,er_n8_p0.2_seed0,Powell,9,0.0,0.9999999999999998,1.0000000000000002,59,134,4.440892098500626e-16,1
ALGO-C2,er_n8_p0.2_seed0,Powell,9,0.01,0.9999999999999998,1.0000000000000002,59,134,4.440892098500626e-16,0
ALGO-C3,er_n8_p0.2_seed0,Powell,9,0.05,0.9999999999999998,1.0000000000000002,59,134,4.440892098500626e-16,0
ALGO-C1,er_n8_p0.2_seed1,COBYLA,0,0.0,5.148631701290922,5.1913072407022725,30,30,0.04267553941135027,1
ALGO-C2,er_n8_p0.2_seed1,COBYLA,0,0.01,5.148631701290922,5.1913072407022725,30,30,0.04267553941135027,1
ALGO-C3,er_n8_p0.2_seed1,COBYLA,0,0.05,5.148631701290922,5.1913072407022725,30,30,0.04267553941135027,0
ALGO-C1,er_n8_p0.2_seed1,COBYLA,1,0.0,5.150764160075596,4.739248712675665,30,30,-0.41151544739993096,0
ALGO-C2,er_n8_p0.2_seed1,COBYLA,1,0.01,5.150764160075596,4.739248712675665,30,30,-0.41151544739993096,0
ALGO-C3,er_n8_p0.2_seed1,COBYLA,1,0.05,5.150764160075596,4.739248712675665,30,30,-0.41151544739993096,0
ALGO-C1,er_n8_p0.2_seed1,COBYLA,2,0.0,5.150744049937053,4.966947759943258,30,30,-0.18379628999379527,0
ALGO-C2,er_n8_p0.2_seed1,COBYLA,2,0.01,5.150744049937053,4.966947759943258,30,30,-0.18379628999379527,0
ALGO-C3,er_n8_p0.2_seed1,COBYLA,2,0.05,5.150744049937053,4.966947759943258,30,30,-0.18379628999379527,0
ALGO-C1,er_n8_p0.2_seed1,COBYLA,3,0.0,5.150764814111226,5.441398413668505,30,30,0.2906335995572791,1
ALGO-C2,er_n8_p0.2_seed1,COBYLA,3,0.01,5.150764814111226,5.441398413668505,30,30,0.2906335995572791,1
ALGO-C3,er_n8_p0.2_seed1,COBYLA,3,0.05,5.150764814111226,5.441398413668505,30,30,0.2906335995572791,1
