claim_id,accepted,specifiable_relation_schema,scalar_directional,planning_feasible,scalar_oriented_planning,perturbation_audit_candidate,verification_only,materialized_rq2,tier,notes
ext_2102_06813v1_claim3,true,false,false,false,false,false,false,false,,
ext_2007_15671v1_claim1,true,false,false,false,false,false,false,false,,
ext_2007_15671v1_claim2,true,true,true,true,true,true,false,false,T4,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2007_15671v1_claim3,true,true,true,true,true,true,false,false,T4,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2007_15671v1_claim4,true,true,true,true,true,true,false,false,T4,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2411_10062v1_claim1,true,false,false,false,false,false,false,false,,
ext_2411_10062v1_claim2,true,false,false,false,false,false,false,false,,
ext_2309_05157v1_claim1,true,true,true,true,true,true,false,false,T4,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2309_05157v1_claim2,true,true,true,true,true,true,false,false,T4,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2309_05157v1_claim3,true,false,false,false,false,false,false,false,,
ext_2309_05157v1_claim4,true,false,false,false,false,false,false,false,,
ext_2309_05157v1_claim5,true,false,false,false,false,false,false,false,,
ext_2410_04030v1_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2410_04030v1_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2410_04030v1_claim3,true,false,false,false,false,false,false,false,,
ext_2410_04030v1_claim4,true,false,false,false,false,false,false,false,,
ext_2003_10611v3_claim1,true,false,false,false,false,false,false,false,,
ext_2003_10611v3_claim2,true,false,false,false,false,false,false,false,,
ext_2003_10611v3_claim4,true,false,false,false,false,false,false,false,,
ext_2003_10611v3_claim5,true,false,false,false,false,false,false,false,,
ext_2407_06663v2_claim1,true,false,false,false,false,false,false,false,,
ext_2407_06663v2_claim2,true,false,false,false,false,false,false,false,,
ext_2407_06663v2_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2407_06663v2_claim4,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2407_06663v2_claim5,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_01028v2_claim1,true,false,false,false,false,false,false,false,,
ext_2309_01028v2_claim2,true,false,false,false,false,false,false,false,,
ext_2309_01028v2_claim3,true,false,false,false,false,false,false,false,,
ext_2309_01028v2_claim4,true,false,false,false,false,false,false,false,,
ext_2309_01028v2_claim5,true,false,false,false,false,false,false,false,,
ext_2309_01028v2_claim6,true,false,false,false,false,false,false,false,,
ext_2405_09169v3_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2405_09169v3_claim2,true,false,false,false,false,false,false,false,,
ext_2405_09169v3_claim3,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2405_08941v3_claim1,true,false,false,false,false,false,false,false,,
ext_2405_08941v3_claim3,true,false,false,false,false,false,false,false,,
ext_2301_00520v2_claim1,true,false,false,false,false,false,false,false,,
ext_2301_00520v2_claim2,true,false,false,false,false,false,false,false,,
ext_2301_00520v2_claim3,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2301_00520v2_claim4,true,false,false,false,false,false,false,false,,
ext_2301_00520v2_claim5,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2209_03824v3_claim1,true,false,false,false,false,false,false,false,,
ext_2209_03824v3_claim2,true,false,false,false,false,false,false,false,,
ext_2209_03824v3_claim3,true,false,false,false,false,false,false,false,,
ext_2205_03441v1_claim1,true,false,false,false,false,false,false,false,,
ext_2205_03441v1_claim2,true,false,false,false,false,false,false,false,,
ext_2205_03441v1_claim3,true,false,false,false,false,false,false,false,,
ext_2205_03441v1_claim4,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2205_03441v1_claim5,true,false,false,false,false,false,false,false,,
ext_2406_14411v1_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2404_14531v1_claim3,true,false,false,false,false,false,false,false,,
ext_2309_05924v1_claim1,true,false,false,false,false,false,false,false,,
ext_2111_13454v3_claim1,true,false,false,false,false,false,false,false,,
ext_2111_13454v3_claim2,true,false,false,false,false,false,false,false,,
ext_2111_13454v3_claim3,true,false,false,false,false,false,false,false,,
ext_2111_13454v3_claim4,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2106_08682v1_claim1,true,false,false,false,false,false,false,false,,
ext_2106_08682v1_claim2,true,false,false,false,false,false,false,false,,
ext_2409_08844v2_claim1,true,true,true,true,true,true,false,true,T1,RQ2 scalar card
ext_2409_08844v2_claim2,true,false,false,false,false,false,false,false,,
ext_2409_08844v2_claim3,true,true,true,true,true,true,false,true,T1,RQ2 scalar card
ext_2409_08844v2_claim4,true,true,true,true,true,true,false,true,T1,RQ2 scalar card
ext_2409_08844v2_claim5,true,true,false,true,false,false,false,false,,"relation-aware planning candidate, non-scalar"
ext_2409_08844v2_claim6,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
