external_claim_id,circuit_size,repetition,qiskit_optimization_level,pytket_time_seconds,qiskit_time_seconds,outcome
ext_2202_14025v1_legacy_claim12,8,2,2,0.010748000000603497,0.029562584008090198,1
ext_2202_14025v1_legacy_claim12,8,2,3,0.010655624966602772,0.027941207983531058,1
ext_2202_14025v1_legacy_claim12,8,3,0,0.010472291032783687,0.023548166966065764,1
ext_2202_14025v1_legacy_claim12,8,3,1,0.010651541990227997,0.028981582960113883,1
ext_2202_14025v1_legacy_claim12,8,3,2,0.010448708024341613,0.026823958032764494,1
ext_2202_14025v1_legacy_claim12,8,3,3,0.011372458015102893,0.02945841697510332,1
ext_2202_14025v1_legacy_claim12,8,4,0,0.010436583019327372,0.027710916998330504,1
ext_2202_14025v1_legacy_claim12,8,4,1,0.010657333012204617,0.027131290989927948,1
ext_2202_14025v1_legacy_claim12,8,4,2,0.010662041953764856,0.027317625004798174,1
ext_2202_14025v1_legacy_claim12,8,4,3,0.010603457980323583,0.028909958025906235,1
ext_2202_14025v1_legacy_claim12,10,0,0,0.013733625004533678,0.02593174995854497,1
ext_2202_14025v1_legacy_claim12,10,0,1,0.01114958297694102,0.02564466599142179,1
ext_2202_14025v1_legacy_claim12,10,0,2,0.01159125001868233,0.030173833016306162,1
ext_2202_14025v1_legacy_claim12,10,0,3,0.011589917005039752,0.030084416968747973,1
ext_2202_14025v1_legacy_claim12,10,1,0,0.01152250001905486,0.027408291003666818,1
ext_2202_14025v1_legacy_claim12,10,1,1,0.011194375052582473,0.024653874977957457,1
ext_2202_14025v1_legacy_claim12,10,1,2,0.011194624996278435,0.026766166964080185,1
ext_2202_14025v1_legacy_claim12,10,1,3,0.011329500004649162,0.02667200000723824,1
ext_2202_14025v1_legacy_claim12,10,2,0,0.011087541992310435,0.025594792037736624,1
ext_2202_14025v1_legacy_claim12,10,2,1,0.011064208985771984,0.027291040983982384,1
ext_2202_14025v1_legacy_claim12,10,2,2,0.011814708006568253,0.028670249972492456,1
ext_2202_14025v1_legacy_claim12,10,2,3,0.011567250010557473,0.030810458993073553,1
ext_2202_14025v1_legacy_claim12,10,3,0,0.01119187503354624,0.02375483396463096,1
ext_2202_14025v1_legacy_claim12,10,3,1,0.01130979199660942,0.025106583023443818,1
ext_2202_14025v1_legacy_claim12,10,3,2,0.011261458974331617,0.03196783398743719,1
ext_2202_14025v1_legacy_claim12,10,3,3,0.011478542000986636,0.02941241697408259,1
ext_2202_14025v1_legacy_claim12,10,4,0,0.012217957992106676,0.026034125010482967,1
ext_2202_14025v1_legacy_claim12,10,4,1,0.011403165990486741,0.028109040984418243,1
ext_2202_14025v1_legacy_claim12,10,4,2,0.012429249996785074,0.029180499957874417,1
ext_2202_14025v1_legacy_claim12,10,4,3,0.011500708002131432,0.027229083993006498,1
