external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,tket_2q_depth,qiskit_2q_depth,tket_cx_count,qiskit_cx_count,outcome
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,3,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,4,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,0,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,1,9,8,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,2,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,3,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,4,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,0,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,1,9,8,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,2,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,3,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,4,9,9,11,13,0
